instrument_key,venue,instrument_type,symbol,venue_type,tardis_exchange,data_provider,asset_class,available_from_datetime,available_to_datetime,data_types,base_asset,quote_asset,settle_asset,exchange_raw_symbol,tardis_symbol,inverse,strike,option_type,expiry,contract_size,tick_size,underlying,min_size,ccxt_symbol,ccxt_exchange,base_asset_contract_address,quote_asset_contract_address,pool_address,pool_fee_tier
BINANCE-FUTURES:PERPETUAL:REEF-USDT@LIN,BINANCE-FUTURES,PERPETUAL,REEF-USDT@LIN,exchange,binance-futures,tardis,crypto,2021-02-22T00:00:00.000Z,2025-01-23T00:00:00.000Z,"trades,book_snapshot_5,derivative_ticker,liquidations",REEF,USDT,USDT,reefusdt,reefusdt,False,,,,,1e-06,REEF-USDT,1.0,REEF/USDT,binance,,,,
BINANCE-FUTURES:PERPETUAL:FTM-USDT@LIN,BINANCE-FUTURES,PERPETUAL,FTM-USDT@LIN,exchange,binance-futures,tardis,crypto,2020-09-24T00:00:00.000Z,2025-01-08T00:00:00.000Z,"trades,book_snapshot_5,derivative_ticker,liquidations",FTM,USDT,USDT,ftmusdt,ftmusdt,False,,,,,0.0001,FTM-USDT,1.0,FTM/USDT,binance,,,,
BINANCE-FUTURES:PERPETUAL:DAR-USDT@LIN,BINANCE-FUTURES,PERPETUAL,DAR-USDT@LIN,exchange,binance-futures,tardis,crypto,2022-04-29T00:00:00.000Z,2024-12-27T00:00:00.000Z,"trades,book_snapshot_5,derivative_ticker,liquidations",DAR,USDT,USDT,darusdt,darusdt,False,,,,,1e-05,DAR-USDT,1.0,DAR/USDT,binance,,,,
BINANCE-FUTURES:PERPETUAL:BLZ-USDT@LIN,BINANCE-FUTURES,PERPETUAL,BLZ-USDT@LIN,exchange,binance-futures,tardis,crypto,2020-09-18T00:00:00.000Z,2024-12-24T00:00:00.000Z,"trades,book_snapshot_5,derivative_ticker,liquidations",BLZ,USDT,USDT,blzusdt,blzusdt,False,,,,,0.0001,BLZ-USDT,1.0,BLZ/USDT,binance,,,,
BINANCE-FUTURES:PERPETUAL:XEM-USDT@LIN,BINANCE-FUTURES,PERPETUAL,XEM-USDT@LIN,exchange,binance-futures,tardis,crypto,2021-03-03T00:00:00.000Z,2024-12-10T00:00:00.000Z,"trades,book_snapshot_5,derivative_ticker,liquidations",XEM,USDT,USDT,xemusdt,xemusdt,False,,,,,1e-05,XEM-USDT,1.0,XEM/USDT,binance,,,,
BINANCE-FUTURES:PERPETUAL:REN-USDT@LIN,BINANCE-FUTURES,PERPETUAL,REN-USDT@LIN,exchange,binance-futures,tardis,crypto,2020-10-13T00:00:00.000Z,2024-12-04T00:00:00.000Z,"trades,book_snapshot_5,derivative_ticker,liquidations",REN,USDT,USDT,renusdt,renusdt,False,,,,,1e-05,REN-USDT,1.0,REN/USDT,binance,,,,
BINANCE-FUTURES:PERPETUAL:UNFI-USDT@LIN,BINANCE-FUTURES,PERPETUAL,UNFI-USDT@LIN,exchange,binance-futures,tardis,crypto,2021-02-19T00:00:00.000Z,2024-11-01T00:00:00.000Z,"trades,book_snapshot_5,derivative_ticker,liquidations",UNFI,USDT,USDT,unfiusdt,unfiusdt,False,,,,,0.001,UNFI-USDT,0.1,UNFI/USDT,binance,,,,
BINANCE-FUTURES:PERPETUAL:KLAY-USDT@LIN,BINANCE-FUTURES,PERPETUAL,KLAY-USDT@LIN,exchange,binance-futures,tardis,crypto,2021-10-12T00:00:00.000Z,2024-10-23T00:00:00.000Z,"trades,book_snapshot_5,derivative_ticker,liquidations",KLAY,USDT,USDT,klayusdt,klayusdt,False,,,,,0.0001,KLAY-USDT,0.1,KLAY/USDT,binance,,,,
BINANCE-FUTURES:PERPETUAL:MATIC-USDT@LIN,BINANCE-FUTURES,PERPETUAL,MATIC-USDT@LIN,exchange,binance-futures,tardis,crypto,2020-10-22T00:00:00.000Z,2024-09-06T00:00:00.000Z,"trades,book_snapshot_5,derivative_ticker,liquidations",MATIC,USDT,USDT,maticusdt,maticusdt,False,,,,,0.0001,MATIC-USDT,0.1,MATIC/USDT,binance,,,,
BINANCE-FUTURES:PERPETUAL:RNDR-USDT@LIN,BINANCE-FUTURES,PERPETUAL,RNDR-USDT@LIN,exchange,binance-futures,tardis,crypto,2023-02-03T00:00:00.000Z,2024-07-18T00:00:00.000Z,"trades,book_snapshot_5,derivative_ticker,liquidations",RNDR,USDT,USDT,rndrusdt,rndrusdt,False,,,,,0.001,RNDR-USDT,0.01,RNDR/USDT,binance,,,,
BINANCE-FUTURES:PERPETUAL:GAL-USDT@LIN,BINANCE-FUTURES,PERPETUAL,GAL-USDT@LIN,exchange,binance-futures,tardis,crypto,2022-05-05T00:00:00.000Z,2024-07-12T00:00:00.000Z,"trades,book_snapshot_5,derivative_ticker,liquidations",GAL,USDT,USDT,galusdt,galusdt,False,,,,,0.001,GAL-USDT,0.001,GAL/USDT,binance,,,,
